V1	VCF0009x	VCF0010x	VCF0011x	VCF0009y	VCF0009z	VCF0010z	VCF0011z	VCF0018a	VCF0050a	VCF0071c	VCF0102	VCF0104	VCF0106	VCF0108	VCF0112	VCF0113	VCF0114	VCF0118	VCF0127	VCF0128	VCF0130a	VCF0140	VCF0143	VCF0146	VCF0147	VCF0148a	VCF0149	VCF0156	VCF0157	VCF0209	VCF0210	VCF0211	VCF0212	VCF0218	VCF0223	VCF0224	VCF0227	VCF0228	VCF0232	VCF0233	VCF0253	VCF0290	VCF0291	VCF0303	VCF0305	VCF0310	VCF0346	VCF0349	VCF0358	VCF0359	VCF0360	VCF0361	VCF0370	VCF0371	VCF0372	VCF0373	VCF0374	VCF0380	VCF0386	VCF0392	VCF0412	VCF0413	VCF0414	VCF0415	VCF0424	VCF0425	VCF0426	VCF0427	VCF0428	VCF0450	VCF0475	VCF0481	VCF0487	VCF0493	VCF0501	VCF0502	VCF0503	VCF0504	VCF0605	VCF0606	VCF0609	VCF0613	VCF0624	VCF0648	VCF0649	VCF0656	VCF0703	VCF0704	VCF0719	VCF0721	VCF0723a	VCF0729	VCF0733	VCF0734	VCF0741	VCF0801	VCF0804	VCF0806	VCF0809	VCF0823	VCF0830	VCF0838	VCF0839	VCF0843	VCF0846	VCF0847	VCF0849	VCF0850	VCF0851	VCF0852	VCF0853	VCF0854	VCF0867	VCF0870	VCF0871	VCF0872	VCF0876	VCF0878	VCF0879a	VCF0880	VCF0881	VCF0886	VCF0887	VCF0888	VCF0890	VCF0894	VCF0903	VCF0905	VCF0991	VCF0992	VCF1011	VCF9005	VCF9009	VCF9013	VCF9016	VCF9017	VCF9018	VCF9021	VCF9022	VCF9023	VCF9027	VCF9028	VCF9029	VCF9030a	VCF9030b	VCF9030c	VCF9031	VCF9032	VCF9039	VCF9040	VCF9041	VCF9042	VCF9045	VCF9047	VCF9048	VCF9049	VCF9054	VCF9069	VCF9081	VCF9084	VCF9085	VCF9086	VCF9087	VCF9088	VCF9089	VCF9092	VCF9093	VCF9094	VCF9095	VCF9096	VCF9122	VCF9131	VCF9132	VCF9133	VCF9201	VCF9202	VCF9203	VCF9204	VCF9205	VCF9206	VCF9207	VCF9208	VCF9209	VCF9210	VCF9211	VCF9212	VCF9213	VCF9214	VCF9215	VCF9216	VCF9217	VCF9218	VCF9219	VCF9220	VCF9221	VCF9222	VCF9223	VCF9224	VCF9225	VCF9226	VCF9227	VCF9228	VCF9229	VCF9230	VCF9232	VCF9233	VCF9234	VCF9235	VCF9236	VCF9237	VCF9238	VCF9239	VCF9240	VCF9241	VCF9242	VCF9243	VCF9244	VCF9245	VCF9246	VCF9247	VCF9248	VCF9249	VCF9250	VCF9251	VCF9252	VCF9253	VCF9255	VCF9256	VCF9257	VCF9258	VCF9259	VCF9260	VCF9261	VCF9262	VCF9265	VCF9267	VCF9268	VCF9269	VCF9270	VCF9271	VCF9272	VCF9273	VCF9275	VCF9277	VCF9278	VCF9279	VCF9280	VCF9281	VCF9282
2967	0	0	0	0.848	0.869	0.869	0.869	0	9	9	4	2	1	2	2	2	3	1	2	2	5	5	1	1	1	3	3	5	5	52	42	52	62	70	51	85	51	73	51	19	51	78	43	3	2	2	2	1	1	2	1	1	1	1	2	2	1	5	5	1	45	65	50	50	60	50	30	50	70	1	5	5	5	5	2	2	3	6	2	2	1	3	2	25	50	75	3	1	1	1	2	1	4	1	2	54	3	3	3	2	5	4	3	4	2	5	5	1	2	3	3	1	5	3	3	1	1	1	3	1	2	2	2	2	2	2	2	2	1	1	2	83	2	3	2	3	3	5	5	0	1	2	1	2	2	2	1	3	4	2	4	4	3	1	1	2	1	2	4	3	3	5	4	4	6	6	6	1	6	5	2	1	1	1	3	5	1	2	1	2	4	2	2	2	1	3	3	5	4	4	1	2	1	1	2	1	2	1	2	3	1	2	2	1	3	6	4	4	1	1	1	3	6	2	7	2	3	3	1	1	3	3	3	4	3	3	2	1	2	2	3	2	1	2	1	42	62	86	5	4	4	4	3	1	2	1	1	2	1
2968	0	0	0	0.434	0.445	0.445	0.445	0	9	9	3	2	2	2	3	2	3	1	2	2	4	6	5	1	7	1	3	5	5	30	50	70	30	60	97	30	60	40	50	50	85	45	65	1	3	3	2	1	2	2	1	1	1	1	2	2	1	5	5	1	35	85	50	60	70	60	0	40	97	1	1	1	1	1	2	2	4	7	1	1	2	1	3	50	100	0	3	1	1	1	1	2	4	1	2	29	2	2	3	2	4	4	4	3	2	5	3	2	4	2	4	2	5	1	2	3	1	1	3	1	2	1	1	3	1	2	2	2	1	5	1	39	1	1	5	3	2	5	1	0	1	1	3	2	2	2	5	0	1	5	5	4	3	1	1	2	1	2	4	4	4	5	4	3	2	7	7	1	7	5	1	2	1	2	9	3	1	1	1	3	8	0	2	2	1	4	4	5	5	5	1	1	2	1	3	1	3	2	1	2	1	1	2	1	3	6	4	1	2	4	1	2	5	3	9	2	3	3	3	3	1	3	5	4	2	5	3	2	2	1	1	1	1	2	1	50	15	60	4	3	3	5	1	1	2	1	2	1	1
2970	0	0	0	0.538	0.551	0.551	0.551	0	9	9	1	2	3	2	3	1	2	1	2	4	5	6	1	2	2	1	3	5	5	12	85	83	1	70	50	0	85	0	97	90	70	35	85	1	2	3	2	1	2	1	1	1	1	1	2	2	1	5	5	1	43	93	25	75	85	50	0	0	97	1	1	1	5	1	2	2	2	7	2	1	1	2	3	50	100	50	3	1	1	2	2	1	7	1	2	8	1	2	4	2	4	4	7	4	2	5	1	3	5	3	5	1	5	1	2	3	1	1	3	1	1	1	1	3	1	1	2	2	1	5	1	64	1	1	5	5	1	1	1	0	1	1	1	1	1	2	5	3	1	5	5	1	3	1	1	1	1	2	3	3	2	7	2	2	6	7	7	5	7	6	1	2	1	2	9	0	2	2	1	1	10	0	1	1	1	3	5	5	5	5	1	1	3	2	1	2	4	2	1	2	1	2	1	1	2	4	4	1	2	4	1	2	4	1	10	2	3	1	3	1	1	1	4	2	1	4	3	1	2	2	2	1	1	2	2	100	41	9	3	3	3	3	3	1	2	1	1	1	2
2972	0	0	0	0.889	0.91	0.91	0.91	0	9	9	4	2	1	2	2	2	4	1	2	2	2	6	1	1	1	4	1	5	5	55	49	55	65	50	50	60	60	45	45	45	40	55	45	3	3	1	1	1	1	2	2	2	2	1	1	1	5	1	1	1	38	28	50	40	15	40	60	60	70	1	5	5	5	5	2	2	1	6	1	1	1	1	3	0	100	0	3	2	1	1	2	2	2	9	2	54	3	5	6	2	5	2	2	5	1	3	5	2	2	2	2	3	5	3	3	3	1	1	5	2	2	2	2	2	2	3	1	2	1	5	1	49	4	2	3	2	2	5	1	0	1	1	1	2	2	2	5	0	2	4	2	3	1	1	2	2	1	2	3	1	1	6	4	2	6	7	6	2	4	6	2	1	2	1	3	7	2	2	3	3	1	7	4	5	3	5	4	4	4	4	2	2	2	2	3	2	3	1	1	2	1	1	2	1	2	4	4	2	2	4	2	4	7	0	10	2	2	3	3	3	1	3	3	5	2	4	2	2	2	1	5	1	1	2	2	40	50	100	3	4	3	3	2	1	2	1	2	1	1
2973	0	0	0	1.458	1.506	1.506	1.506	0	9	9	5	2	1	2	4	2	4	1	2	1	4	6	1	1	1	4	1	5	5	41	90	92	75	75	93	44	90	51	91	90	95	60	66	1	2	2	2	1	2	2	1	1	1	1	2	2	1	5	5	1	48	95	61	60	92	71	3	51	97	1	1	1	1	1	2	2	3	7	2	2	1	2	2	50	50	75	3	1	1	1	2	2	3	1	2	40	1	2	4	2	4	4	6	4	1	3	1	2	4	2	3	1	1	1	2	3	1	1	1	2	2	1	1	2	1	2	1	2	1	5	1	51	1	1	4	5	2	1	1	0	1	1	3	2	2	2	5	3	1	5	5	2	5	2	1	2	1	2	4	4	2	5	4	3	6	7	7	1	7	7	3	2	1	2	7	5	2	2	1	3	9	2	1	2	1	2	5	5	5	5	1	1	1	1	2	1	4	1	1	2	1	1	2	1	3	6	4	1	2	5	1	1	3	2	8	2	2	2	1	3	1	3	1	2	4	5	2	1	1	1	2	1	1	1	2	90	51	72	4	4	4	4	3	2	2	1	1	1	1
2974	0	0	0	0.663	0.679	0.679	0.679	0	9	9	7	1	1	2	3	2	4	1	2	4	5	6	1	1	1	6	1	5	5	72	18	17	71	0	71	85	71	61	50	42	41	43	8	3	4	3	1	2	1	1	2	2	1	2	1	1	5	1	1	5	30	20	56	9	0	15	60	97	0	2	5	1	1	5	2	2	1	5	1	1	2	2	3	100	100	0	3	2	1	1	2	2	7	9	2	76	2	6	7	2	6	4	3	7	1	1	3	2	2	4	1	2	5	5	4	3	1	1	5	3	1	2	2	1	3	3	2	2	1	1	1	51	5	2	2	2	3	5	1	0	2	2	3	2	2	2	5	1	4	2	2	4	1	3	1	2	1	1	3	1	1	7	2	1	6	5	6	4	6	3	2	1	2	1	0	10	1	2	3	1	0	7	5	5	5	5	1	3	3	2	2	2	3	3	3	2	2	1	2	3	2	3	2	1	2	4	4	2	1	1	2	1	6	0	8	2	2	2	3	3	1	3	5	2	5	5	2	1	1	2	1	1	1	1	1	41	69	85	3	4	3	2	2	3	2	1	1	1	1
2977	0	0	0	0.382	0.391	0.391	0.391	0	9	9	6	1	1	2	2	2	4	3	2	4	5	5	1	1	2	4	1	0	0	70	40	50	50	50	60	56	70	40	30	0	40	53	47	3	2	2	1	1	1	1	2	2	1	1	1	1	5	1	1	1	46	29	37	55	24	42	67	32	19	2	5	1	1	5	2	2	2	6	1	1	1	1	1	0	0	0	3	2	1	1	1	2	1	9	2	49	3	4	7	2	6	4	4	6	1	1	5	2	2	4	4	3	5	1	2	3	1	1	3	1	1	3	3	1	2	3	1	2	1	5	1	40	4	1	2	3	2	5	1	0	2	2	1	2	2	2	5	0	4	1	2	5	1	2	1	2	1	2	4	1	1	7	3	2	7	4	4	3	3	6	1	1	2	1	2	8	1	2	3	2	1	9	5	5	2	5	2	2	3	3	2	2	3	1	3	2	3	1	1	1	1	1	2	3	2	4	2	2	1	2	2	3	5	5	5	2	4	4	1	3	3	3	5	5	2	5	2	2	2	2	4	1	1	2	1	50	70	85	3	3	3	3	2	3	2	1	2	1	2
2978	0	0	0	0.937	0.958	0.958	0.958	0	9	9	2	2	1	2	1	2	4	1	2	4	5	6	1	2	1	4	1	5	5	60	69	64	40	60	84	40	70	42	97	61	97	50	60	1	2	3	2	1	1	2	1	1	1	1	2	2	1	5	5	1	35	85	50	85	70	85	0	15	97	1	1	1	1	5	2	2	3	7	1	2	2	2	2	100	50	25	3	1	1	1	2	2	7	1	2	37	1	2	3	2	2	4	5	5	2	5	1	3	5	1	5	1	1	1	2	1	1	1	3	1	1	2	2	2	1	2	2	2	1	5	1	69	1	1	5	5	2	1	1	0	1	1	3	2	2	2	5	5	1	4	5	2	1	1	1	1	1	1	5	3	3	6	3	3	6	6	7	2	7	5	2	2	1	2	7	3	1	1	1	2	6	0	2	4	1	3	2	5	5	5	1	1	3	1	1	1	4	2	1	2	1	1	3	1	3	6	4	3	2	5	1	1	3	4	8	1	2	2	3	3	1	1	4	2	4	4	2	2	2	2	2	1	1	2	2	84	71	70	5	5	3	2	3	1	2	1	1	1	1
2979	0	0	0	0.757	0.774	0.774	0.774	0	9	9	2	1	1	2	3	1	4	1	2	4	5	6	1	1	1	4	1	5	5	50	25	15	75	10	59	70	50	60	49	50	8	40	20	3	3	2	1	1	1	1	2	2	2	1	1	1	5	1	5	5	35	15	43	43	0	35	70	50	0	2	5	1	1	1	2	2	2	7	1	1	3	1	2	25	50	0	3	2	1	1	2	2	3	9	2	79	3	7	5	2	4	4	3	5	1	1	5	2	3	5	2	4	5	3	3	3	1	1	3	2	2	3	3	2	2	3	2	2	1	5	1	69	5	2	4	3	2	1	5	0	2	2	3	2	2	2	5	0	3	2	3	4	1	2	1	3	1	1	1	1	1	6	1	2	5	5	6	2	5	6	2	1	2	1	3	7	1	2	3	2	0	7	5	5	5	5	2	3	3	3	2	2	3	1	3	2	3	1	2	3	1	1	2	1	1	2	4	2	1	2	3	2	7	0	10	2	2	3	1	1	1	3	4	3	3	4	2	1	1	1	2	2	1	2	1	59	61	71	4	4	3	3	2	1	2	1	2	1	1
2980	0	0	0	0.662	0.684	0.684	0.684	0	9	9	6	1	1	2	4	2	3	2	2	4	5	5	5	1	1	4	2	0	0	0	0	40	60	70	97	0	70	0	50	0	50	35	85	1	4	3	2	1	1	1	1	1	1	2	2	2	1	5	5	1	56	91	65	45	97	60	15	70	97	1	1	1	1	1	2	2	7	7	1	1	1	1	3	0	100	0	3	1	1	1	2	2	5	1	2	59	3	1	3	1	4	3	4	3	2	5	5	3	1	1	1	4	5	3	3	1	1	1	5	1	1	1	2	3	1	3	1	2	5	5	1	30	2	5	4	5	1	1	1	0	1	1	3	1	1	1	5	0	1	5	5	1	5	1	1	1	1	4	5	5	3	5	4	5	7	7	7	6	7	7	2	2	1	1	3	4	2	2	2	1	2	2	2	2	1	2	3	3	4	5	1	1	1	2	3	1	3	1	2	3	1	1	3	1	2	4	4	3	2	4	3	1	6	2	2	2	4	3	3	1	1	1	2	4	4	2	4	1	2	2	1	1	1	2	2	40	40	100	4	4	4	4	3	1	2	1	2	1	1
