V1	VCF0009x	VCF0010x	VCF0011x	VCF0009y	VCF0009z	VCF0010z	VCF0011z	VCF0018a	VCF0050a	VCF0071c	VCF0102	VCF0104	VCF0106	VCF0108	VCF0112	VCF0113	VCF0114	VCF0118	VCF0127	VCF0128	VCF0130a	VCF0140	VCF0143	VCF0146	VCF0147	VCF0148a	VCF0149	VCF0156	VCF0157	VCF0209	VCF0210	VCF0211	VCF0212	VCF0218	VCF0223	VCF0224	VCF0227	VCF0228	VCF0232	VCF0233	VCF0253	VCF0290	VCF0291	VCF0303	VCF0305	VCF0310	VCF0346	VCF0349	VCF0358	VCF0359	VCF0360	VCF0361	VCF0370	VCF0371	VCF0372	VCF0373	VCF0374	VCF0380	VCF0386	VCF0392	VCF0412	VCF0413	VCF0414	VCF0415	VCF0424	VCF0425	VCF0426	VCF0427	VCF0428	VCF0450	VCF0475	VCF0481	VCF0487	VCF0493	VCF0501	VCF0502	VCF0503	VCF0504	VCF0605	VCF0606	VCF0609	VCF0613	VCF0624	VCF0648	VCF0649	VCF0656	VCF0703	VCF0704	VCF0719	VCF0721	VCF0723a	VCF0729	VCF0733	VCF0734	VCF0741	VCF0801	VCF0804	VCF0806	VCF0809	VCF0823	VCF0830	VCF0838	VCF0839	VCF0843	VCF0846	VCF0847	VCF0849	VCF0850	VCF0851	VCF0852	VCF0853	VCF0854	VCF0867	VCF0870	VCF0871	VCF0872	VCF0876	VCF0878	VCF0879a	VCF0880	VCF0881	VCF0886	VCF0887	VCF0888	VCF0890	VCF0894	VCF0903	VCF0905	VCF0991	VCF0992	VCF1011	VCF9005	VCF9009	VCF9013	VCF9016	VCF9017	VCF9018	VCF9021	VCF9022	VCF9023	VCF9027	VCF9028	VCF9029	VCF9030a	VCF9030b	VCF9030c	VCF9031	VCF9032	VCF9039	VCF9040	VCF9041	VCF9042	VCF9045	VCF9047	VCF9048	VCF9049	VCF9054	VCF9069	VCF9081	VCF9084	VCF9085	VCF9086	VCF9087	VCF9088	VCF9089	VCF9092	VCF9093	VCF9094	VCF9095	VCF9096	VCF9122	VCF9131	VCF9132	VCF9133	VCF9201	VCF9202	VCF9203	VCF9204	VCF9205	VCF9206	VCF9207	VCF9208	VCF9209	VCF9210	VCF9211	VCF9212	VCF9213	VCF9214	VCF9215	VCF9216	VCF9217	VCF9218	VCF9219	VCF9220	VCF9221	VCF9222	VCF9223	VCF9224	VCF9225	VCF9226	VCF9227	VCF9228	VCF9229	VCF9230	VCF9232	VCF9233	VCF9234	VCF9235	VCF9236	VCF9237	VCF9238	VCF9239	VCF9240	VCF9241	VCF9242	VCF9243	VCF9244	VCF9245	VCF9246	VCF9247	VCF9248	VCF9249	VCF9250	VCF9251	VCF9252	VCF9253	VCF9255	VCF9256	VCF9257	VCF9258	VCF9259	VCF9260	VCF9261	VCF9262	VCF9265	VCF9267	VCF9268	VCF9269	VCF9270	VCF9271	VCF9272	VCF9273	VCF9275	VCF9277	VCF9278	VCF9279	VCF9280	VCF9281	VCF9282
2209	0	0	0	1	1	1	1	0	9	9	6	1	1	2	2	2	4	3	1	1	2	6	1	1	1	1	4	0	0	60	60	20	67	1	70	41	66	16	50	16	40	21	30	3	4	3	1	2	1	1	2	2	2	2	1	1	5	1	1	5	50	4	27	26	3	2	96	51	0	2	1	5	1	5	2	2	2	4	1	1	1	1	1	0	0	0	3	2	2	2	4	2	7	9	2	72	3	6	6	1	7	4	1	6	1	3	5	3	2	1	1	2	5	5	5	5	1	5	5	3	2	3	3	1	3	3	1	2	5	5	1	70	5	2	1	1	1	1	1	0	2	2	3	1	1	1	1	1	5	1	3	5	1	3	3	2	1	5	1	1	1	7	1	2	7	4	5	4	5	5	3	1	2	1	0	10	2	2	2	2	0	10	5	5	5	5	1	2	2	2	2	2	3	3	4	2	1	2	2	3	1	1	2	1	1	1	4	4	1	1	3	1	8	0	6	1	5	4	3	3	1	3	5	1	2	5	2	1	1	1	1	1	1	2	1	1	50	70	3	6	2	4	2	2	2	1	2	1	1
2210	0	0	0	0	0	0	0	0	9	9	5	2	1	2	2	2	2	1	2	1	5	4	1	1	1	1	4	5	5	15	50	85	15	63	70	1	60	0	60	22	85	32	81	1	4	3	2	1	2	2	1	1	1	1	2	2	1	5	5	1	36	84	36	85	70	70	2	1	97	1	1	5	5	1	2	2	2	6	1	1	1	1	1	0	0	0	3	1	1	2	2	2	6	1	2	14	1	2	5	2	6	4	5	3	2	5	1	2	4	4	4	1	5	1	2	1	1	1	3	2	3	1	2	1	1	2	1	1	5	5	1	40	2	1	4	4	2	1	5	0	1	1	1	1	1	2	1	5	3	2	4	4	1	1	1	1	1	5	3	4	3	4	3	3	3	7	7	4	7	7	1	2	1	1	9	1	1	1	1	3	6	0	1	3	2	4	5	5	4	5	1	1	3	1	4	2	4	1	1	1	1	1	3	1	3	7	4	4	2	5	1	4	8	9	0	1	3	2	3	3	1	3	3	3	4	5	2	1	1	2	2	1	1	2	2	50	30	40	3	4	3	3	2	2	2	1	1	1	1
2211	0	0	0	1	1	1	1	0	9	9	5	2	3	2	3	1	4	2	2	1	1	5	2	1	1	4	1	0	0	50	70	70	0	80	70	1	85	15	50	70	70	41	90	1	4	3	2	1	2	2	1	1	1	1	2	2	1	5	5	1	48	98	35	85	95	70	0	0	90	1	1	1	5	1	2	2	3	6	1	2	1	2	1	50	0	25	3	1	2	2	4	2	7	1	2	14	2	2	4	2	3	4	5	3	1	3	1	2	3	2	4	2	1	3	3	1	1	1	1	2	1	1	1	2	1	2	2	2	5	5	1	50	1	1	3	5	1	1	1	0	1	1	1	1	1	1	5	3	1	5	5	1	3	1	1	2	1	4	5	3	3	6	3	3	5	7	5	2	6	5	2	2	1	2	8	0	1	1	1	1	8	0	1	1	1	2	4	5	5	5	1	1	1	1	4	1	4	1	1	2	1	1	3	1	3	7	4	3	2	5	1	2	5	3	10	1	2	3	1	3	1	3	5	2	4	5	4	1	1	1	3	1	1	1	1	70	50	85	4	4	3	3	2	2	2	1	2	1	1
2213	0	0	0	1	1	1	1	0	9	9	3	1	1	2	1	2	4	1	2	3	4	6	5	2	2	6	1	5	5	60	40	80	30	60	70	15	80	15	85	40	75	38	73	1	2	3	1	1	1	1	1	1	1	1	2	2	1	5	5	1	45	95	50	85	90	85	0	15	70	1	1	1	5	1	2	2	2	7	1	2	2	2	3	100	100	25	3	1	1	1	2	2	7	1	2	24	1	4	3	2	2	4	5	4	2	5	1	3	4	2	5	2	5	3	3	3	1	1	3	2	1	1	1	2	1	2	2	2	5	5	1	60	1	2	2	4	2	1	1	0	1	1	3	2	2	2	5	5	2	4	4	2	1	1	1	1	1	4	4	2	5	5	3	3	5	6	6	1	6	6	1	2	1	2	8	0	2	1	1	1	9	0	2	2	2	2	5	5	5	5	2	1	3	1	2	2	4	1	2	3	1	1	1	1	3	6	4	2	2	4	1	1	4	3	9	2	2	3	1	3	1	1	5	2	5	4	3	1	1	2	1	1	1	1	2	50	60	60	4	4	4	2	3	1	2	1	1	1	2
2216	0	0	0	1	1	1	1	0	9	9	7	2	1	2	3	1	4	3	2	1	2	6	1	1	1	6	1	0	0	85	31	37	85	40	60	60	85	34	50	40	60	50	40	3	4	2	1	1	1	1	2	2	1	1	1	2	5	1	5	5	33	33	73	38	15	60	50	85	40	2	5	1	1	1	2	2	1	5	1	1	1	1	1	0	0	0	3	2	2	1	2	2	4	9	2	73	3	5	6	2	5	3	3	4	1	3	5	2	2	5	2	4	5	1	2	3	1	1	3	3	2	2	2	2	2	2	2	2	1	5	1	76	5	2	2	2	2	1	5	0	2	1	1	1	1	1	5	0	2	2	4	3	1	3	2	2	2	2	2	2	2	7	2	2	5	5	5	4	6	3	3	1	2	1	2	7	1	2	3	2	1	7	5	5	4	5	5	5	3	3	2	2	3	3	4	2	3	1	2	3	1	1	1	2	2	4	4	3	1	1	2	3	7	2	7	2	2	1	1	3	1	3	4	3	4	4	1	1	1	1	2	1	1	1	1	42	52	100	2	4	4	1	1	2	2	1	2	1	1
2217	0	0	0	0	0	0	0	0	9	9	5	2	1	2	3	1	2	1	2	1	0	5	1	1	3	1	3	5	5	85	20	16	97	0	85	85	81	61	1	30	16	43	8	3	4	3	1	2	1	1	2	2	1	1	1	1	5	1	1	5	35	15	43	8	0	0	70	85	0	2	5	1	1	5	2	2	1	6	1	1	2	2	3	100	100	0	3	2	1	1	2	2	7	9	2	89	3	7	7	2	7	2	4	7	1	3	5	1	1	5	1	5	5	3	3	5	1	5	5	2	2	3	3	1	1	3	2	2	5	5	1	62	5	3	3	2	5	5	1	0	2	2	1	2	2	2	5	0	5	1	1	5	1	2	2	1	2	4	1	1	1	7	1	1	6	6	6	3	6	6	1	2	2	1	2	9	1	2	3	3	0	8	5	5	3	5	3	2	2	3	2	2	3	3	4	2	1	1	2	3	3	4	1	3	2	4	4	2	1	2	2	2	10	1	9	1	2	2	3	1	1	3	5	3	4	5	2	2	2	2	1	1	1	1	1	16	80	100	2	4	2	1	1	1	1	1	1	1	2
2218	0	0	0	1	1	1	1	0	9	9	2	2	1	2	3	1	3	1	2	1	0	6	1	1	2	4	2	5	5	70	41	1	97	16	61	41	40	41	0	40	51	29	38	3	4	3	1	1	1	1	1	2	2	2	1	1	5	1	1	5	63	27	69	32	40	50	86	87	49	2	5	1	5	5	2	2	2	5	1	1	1	1	2	0	50	0	3	2	1	1	1	2	7	9	2	97	3	3	3	1	6	1	5	5	1	3	5	1	1	5	1	5	5	1	2	3	5	5	3	1	2	2	2	2	2	3	2	2	1	5	1	51	2	4	2	2	3	5	1	0	2	2	3	2	2	2	5	0	3	1	2	4	3	2	2	2	2	2	4	2	4	7	4	1	6	6	7	4	3	6	2	1	2	1	1	7	2	2	2	3	1	9	2	5	2	5	1	3	3	2	1	1	2	1	3	2	3	2	2	3	3	4	2	1	2	4	4	2	1	1	2	3	10	1	8	1	2	1	3	3	1	1	5	3	4	4	2	2	2	2	3	1	1	2	2	0	50	100	4	5	2	4	2	3	2	1	1	1	1
2220	0	0	0	1	1	1	1	0	9	9	2	2	3	2	3	2	4	1	1	1	1	6	1	1	1	1	3	5	5	30	50	97	60	70	97	60	70	50	50	50	60	65	55	1	2	2	1	1	2	2	1	1	1	1	2	2	5	5	1	1	43	78	50	50	70	50	15	50	70	1	5	5	5	5	2	1	3	4	1	3	3	3	1	50	0	50	3	1	1	1	1	2	5	1	2	30	1	4	4	2	4	1	5	5	1	2	1	1	3	4	2	1	5	3	3	1	1	1	5	2	2	1	1	2	1	3	2	2	1	1	1	50	2	2	3	3	2	5	1	0	1	1	3	2	2	2	5	0	3	2	4	4	3	2	1	2	1	2	6	5	5	5	6	4	2	5	6	3	5	1	2	2	1	2	5	8	1	2	2	2	8	0	1	1	3	3	5	5	4	3	1	1	2	2	2	1	3	2	2	3	1	2	2	1	2	4	2	4	1	1	2	3	7	6	9	2	3	3	3	3	1	3	4	3	2	4	2	1	1	1	3	2	1	2	1	50	50	100	4	4	4	5	2	1	2	1	2	1	1
2222	0	0	0	1	1	1	1	0	9	9	4	1	1	2	4	2	4	1	2	4	5	5	1	1	1	4	1	5	5	51	85	97	42	97	54	0	50	0	85	40	97	49	99	1	4	3	2	1	2	2	1	1	1	1	2	2	1	5	5	1	49	99	49	99	97	97	0	0	97	1	1	5	5	1	2	2	3	7	1	1	1	1	2	0	50	0	3	1	1	2	3	2	7	1	2	21	1	1	2	2	3	4	7	3	2	5	1	2	5	3	5	1	5	1	2	1	1	1	3	1	1	1	1	1	1	1	2	2	1	5	1	62	1	1	5	5	1	5	1	0	1	1	3	2	2	2	5	1	3	5	5	3	5	1	3	1	1	1	5	3	2	7	2	2	7	7	7	1	7	7	2	2	1	2	10	2	1	1	1	1	10	0	1	1	1	2	5	5	5	5	1	1	1	1	4	1	4	1	1	1	1	1	3	1	3	7	4	1	2	5	1	1	3	3	9	2	2	2	3	3	1	3	5	2	5	4	1	2	2	1	1	2	1	2	1	51	52	59	4	3	3	3	3	1	2	3	1	1	2
2223	0	0	0	1	1	1	1	0	9	9	5	1	1	2	4	2	4	3	2	4	5	5	1	1	1	4	1	0	0	70	54	73	68	62	70	57	50	45	57	50	84	60	53	1	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	61	50	61	49	60	60	61	62	72	1	1	1	1	1	2	2	2	6	2	1	2	2	2	100	50	50	3	1	1	1	1	2	5	1	2	46	1	4	4	2	4	3	4	4	2	5	1	3	2	2	2	2	5	3	3	3	1	1	5	2	2	2	2	1	2	2	2	2	1	5	1	73	4	2	4	4	2	1	1	0	1	2	1	1	2	1	5	0	2	4	3	4	3	2	2	1	1	2	4	4	5	5	5	2	5	4	4	3	5	4	2	2	1	2	7	6	1	1	2	2	7	6	3	3	3	3	3	4	4	3	1	1	2	1	3	1	2	1	1	2	1	1	2	1	3	7	4	4	1	2	1	2	4	4	6	2	3	3	3	3	1	3	4	3	4	3	2	2	2	2	2	2	1	1	2	57	71	74	4	3	2	2	2	2	2	1	1	1	1
