"","VCF0009x","VCF0010x","VCF0011x","VCF0009y","VCF0009z","VCF0010z","VCF0011z","VCF0017","VCF0018a","VCF0018b","VCF0050a","VCF0050b","VCF0070a","VCF0071c","VCF0072a","VCF0102","VCF0104","VCF0106","VCF0108","VCF0110","VCF0112","VCF0113","VCF0114","VCF0118","VCF0127","VCF0128","VCF0130a","VCF0140","VCF0143","VCF0146","VCF0147","VCF0148a","VCF0149","VCF0156","VCF0157","VCF0209","VCF0210","VCF0211","VCF0212","VCF0218","VCF0223","VCF0224","VCF0227","VCF0228","VCF0232","VCF0233","VCF0253","VCF0290","VCF0291","VCF0303","VCF0305","VCF0310","VCF0346","VCF0349","VCF0358","VCF0359","VCF0360","VCF0361","VCF0370","VCF0371","VCF0372","VCF0373","VCF0374","VCF0380","VCF0386","VCF0392","VCF0412","VCF0413","VCF0414","VCF0415","VCF0424","VCF0425","VCF0426","VCF0427","VCF0428","VCF0450","VCF0475","VCF0481","VCF0487","VCF0493","VCF0501","VCF0502","VCF0503","VCF0504","VCF0605","VCF0606","VCF0609","VCF0613","VCF0624","VCF0648","VCF0649","VCF0656","VCF0700","VCF0702","VCF0703","VCF0704","VCF0705","VCF0707","VCF0708","VCF0709","VCF0710","VCF0712","VCF0713","VCF0714","VCF0717","VCF0718","VCF0719","VCF0720","VCF0721","VCF0723a","VCF0729","VCF0731","VCF0733","VCF0734","VCF0736","VCF0740","VCF0741","VCF0742","VCF0801","VCF0804","VCF0806","VCF0809","VCF0823","VCF0830","VCF0838","VCF0839","VCF0843","VCF0846","VCF0847","VCF0849","VCF0850","VCF0851","VCF0852","VCF0853","VCF0854","VCF0867","VCF0870","VCF0871","VCF0872","VCF0876","VCF0878","VCF0879a","VCF0880","VCF0881","VCF0886","VCF0887","VCF0888","VCF0890","VCF0894","VCF0901b","VCF0903","VCF0904","VCF0905","VCF0991","VCF0992","VCF1004","VCF1005","VCF1011","VCF1012","VCF1013","VCF1014","VCF9005","VCF9009","VCF9013","VCF9016","VCF9017","VCF9018","VCF9021","VCF9022","VCF9023","VCF9025","VCF9027","VCF9028","VCF9029","VCF9030a","VCF9030b","VCF9030c","VCF9031","VCF9032","VCF9039","VCF9040","VCF9041","VCF9042","VCF9045","VCF9047","VCF9048","VCF9049","VCF9054","VCF9069","VCF9081","VCF9084","VCF9085","VCF9086","VCF9087","VCF9088","VCF9089","VCF9092","VCF9093","VCF9094","VCF9095","VCF9096","VCF9122","VCF9131","VCF9132","VCF9133","VCF9201","VCF9202","VCF9203","VCF9204","VCF9205","VCF9206","VCF9207","VCF9208","VCF9209","VCF9210","VCF9211","VCF9212","VCF9213","VCF9214","VCF9215","VCF9216","VCF9217","VCF9218","VCF9219","VCF9220","VCF9221","VCF9222","VCF9223","VCF9224","VCF9225","VCF9226","VCF9227","VCF9228","VCF9229","VCF9230","VCF9231","VCF9232","VCF9233","VCF9234","VCF9235","VCF9236","VCF9237","VCF9238","VCF9239","VCF9240","VCF9241","VCF9242","VCF9243","VCF9244","VCF9245","VCF9246","VCF9247","VCF9248","VCF9249","VCF9250","VCF9251","VCF9252","VCF9253","VCF9255","VCF9256","VCF9257","VCF9258","VCF9259","VCF9260","VCF9261","VCF9262","VCF9263","VCF9264","VCF9265","VCF9266","VCF9267","VCF9268","VCF9269","VCF9270","VCF9271","VCF9272","VCF9273","VCF9275","VCF9277","VCF9278","VCF9279","VCF9280","VCF9281","VCF9282"
"644",0.5,0.5,0.5,0,0.467,0.467,0.467,0,0,0,4,3,2,1,1,2,2,3,1,2,4,2,2,4,2,4,5,3,1,2,7,1,4,0,0,97,97,97,97,50,97,50,50,97,97,50,97,50,50,3,2,2,2,1,2,2,1,1,1,1,2,2,5,5,5,5,25,75,70,73,50,90,0,9,97,1,5,5,5,5,2,2,4,4,2,1,3,2,2,75,50,50,1,2,3,1,1,1,2,1,2,4,2,1,2,1,1,2,1,2,1,1,4,4,1,2,2,2,49,1,5,7,2,3,3,5,3,2,5,1,2,3,2,2,1,1,3,3,3,1,5,3,1,1,1,1,1,1,1,"CA",2,1,2,1,1,4,1,2,2,2,6,97,1,2,4,4,2,1,1,0,1,1,1,1,2,2,2,5,5,2,4,4,2,3,1,1,1,1,1,5,3,5,6,4,4,4,5,3,4,4,1,2,2,1,2,10,3,1,1,2,2,8,3,2,2,2,2,4,5,4,4,1,1,1,2,2,2,3,2,3,4,1,2,2,2,2,3,7,3,4,1,2,1,1,8,6,4,2,2,2,1,1,1,3,3,4,3,5,3,2,2,2,2,2,2,2,1,7,2,1,100,50,100,1,1,1,1,2,3,1,1,1,1,1
"645",1.261,1.261,1.261,0,1.173,1.173,1.173,0,0,0,1,2,2,1,1,2,1,1,2,4,1,2,5,1,2,2,2,6,1,1,1,4,1,5,5,70,40,85,70,15,97,15,97,70,97,70,40,15,50,3,2,3,2,1,1,1,2,2,1,1,1,2,1,1,5,1,30,50,43,23,30,15,30,70,70,1,5,1,5,5,2,2,2,6,2,2,1,2,1,50,0,75,1,1,2,NA,3,1,1,4,4,1,4,2,1,1,1,1,1,1,1,1,1,9,NA,2,2,2,41,3,7,7,2,4,4,4,6,1,2,5,2,5,2,2,1,5,3,3,5,1,1,5,1,1,3,1,1,1,3,"NJ",1,2,2,1,1,2,3,2,2,1,2,85,1,4,1,1,5,1,1,2,1,1,1,1,2,2,2,5,5,5,3,4,5,1,3,1,1,2,1,4,1,2,6,2,2,4,6,4,6,5,6,2,1,1,2,3,4,2,1,2,3,2,2,4,5,2,5,2,4,4,2,1,2,3,1,2,1,3,1,1,2,2,3,2,3,2,2,4,4,3,1,2,2,2,6,1,9,2,4,1,3,3,1,1,2,4,2,4,2,1,1,2,4,2,1,2,1,7,2,1,100,100,100,4,6,4,2,2,1,2,1,1,1,1
"646",1.456,1.456,1.456,0,1.355,1.355,1.355,0,0,0,1,1,2,1,1,2,2,1,2,3,1,2,4,1,2,1,3,5,1,2,1,4,1,5,5,40,50,50,30,60,50,15,50,15,50,50,70,38,73,1,2,3,1,1,1,2,1,1,1,1,2,2,1,1,5,1,43,93,43,93,85,85,0,0,70,1,1,1,1,1,2,2,2,6,1,1,1,1,2,0,50,0,1,2,3,1,1,1,1,1,1,5,4,2,2,1,1,1,1,2,2,1,5,2,1,2,2,2,39,1,2,3,2,3,4,4,3,1,1,1,2,4,2,5,1,5,1,2,1,1,1,3,3,3,1,1,3,2,2,"PA",2,1,2,1,5,4,1,1,2,2,6,70,1,2,5,1,1,1,5,0,1,1,2,1,1,1,1,5,0,1,5,5,2,3,1,1,2,1,2,4,2,2,5,3,3,6,7,7,1,7,6,2,2,1,2,7,3,1,1,2,2,6,0,3,3,1,3,5,5,5,5,1,2,1,1,3,2,4,1,1,2,1,1,3,1,2,3,7,4,2,2,4,1,4,3,3,8,2,3,3,1,3,1,1,4,3,2,4,3,2,2,2,1,1,1,2,1,7,1,1,60,50,50,4,4,4,4,3,1,2,1,1,1,1
"647",1.998,1.998,1.998,0,1.86,1.86,1.86,0,0,0,1,2,2,1,1,4,1,1,2,4,1,2,4,1,2,2,5,6,1,1,1,4,1,5,5,40,50,40,50,30,50,30,70,30,50,40,50,30,50,1,2,3,1,2,1,1,2,2,2,2,1,1,5,1,1,5,50,30,60,40,30,50,70,70,15,2,5,5,5,1,1,2,2,6,1,1,1,1,2,0,50,0,1,2,3,2,2,2,1,4,3,3,2,2,2,1,1,2,1,2,2,1,7,9,5,2,2,2,54,3,6,6,2,6,2,3,6,1,1,1,2,2,3,2,3,5,5,4,5,1,1,3,2,3,2,2,3,1,3,"NJ",2,1,2,5,5,4,1,2,2,2,5,30,5,2,4,3,3,5,1,0,1,2,1,1,2,2,2,5,0,4,2,4,4,1,2,1,1,2,4,3,3,3,6,3,2,5,5,5,2,6,5,4,1,1,1,4,6,2,1,2,2,2,6,5,5,3,5,2,3,3,3,2,2,3,3,4,2,3,2,3,4,2,3,1,1,1,1,2,2,2,1,1,2,2,5,4,6,2,4,3,1,1,3,3,4,3,3,4,2,2,2,2,1,2,1,2,1,7,2,1,50,50,50,4,3,4,5,1,1,1,1,1,1,1
"648",0.601,0.601,0.601,0,0.561,0.561,0.561,0,0,0,4,3,2,1,1,3,1,3,1,2,3,2,4,1,1,1,3,3,5,1,1,1,3,5,5,40,60,30,70,30,50,60,50,60,50,15,50,45,35,3,4,2,1,1,1,1,1,2,2,2,1,1,5,5,5,5,50,40,50,40,40,40,60,60,30,2,5,5,5,5,1,2,2,5,1,2,3,3,2,50,50,25,2,2,3,2,2,2,2,4,4,4,2,2,1,1,1,1,1,1,1,5,7,9,5,2,2,2,69,3,6,5,1,6,2,3,5,1,2,5,2,3,3,2,2,5,5,4,3,1,1,3,2,2,2,1,1,1,3,"OK",2,1,2,1,1,4,1,1,2,1,6,60,5,4,2,2,3,5,5,0,1,2,2,3,2,2,2,5,0,4,2,1,4,3,2,2,2,1,2,6,4,4,6,3,2,5,4,6,4,6,4,2,1,1,2,2,8,2,1,3,3,3,6,4,4,4,5,3,4,3,4,1,2,3,3,2,2,3,2,2,3,1,2,2,2,2,2,4,4,2,1,1,2,1,5,2,8,1,3,1,3,1,2,3,4,3,3,3,3,1,2,2,3,2,1,2,1,7,2,1,50,50,100,3,3,3,3,1,1,1,1,1,1,1
"649",0.334,0.334,0.334,0,0.311,0.311,0.311,0,0,0,2,3,2,1,1,6,2,1,2,3,2,2,2,3,2,1,4,5,1,2,3,1,4,0,0,60,60,60,70,40,97,60,60,70,97,15,60,50,40,3,3,3,1,1,1,1,1,2,1,1,2,2,1,1,5,1,28,63,55,65,40,70,15,40,40,2,1,1,1,1,2,2,1,6,1,1,2,2,3,100,100,0,1,2,3,NA,3,2,2,4,4,4,4,2,1,1,1,1,1,1,2,1,4,5,5,2,2,2,54,1,4,3,2,4,4,3,5,1,1,5,2,1,5,1,2,5,3,3,3,1,1,3,3,2,2,1,1,1,2,"IN",2,2,2,1,5,4,1,1,2,2,5,70,4,1,1,1,1,5,1,0,2,1,2,3,2,2,2,5,1,4,2,4,2,3,1,1,1,1,2,3,1,6,5,5,2,6,2,7,4,4,6,1,1,1,2,4,8,1,2,3,2,3,3,3,3,2,5,4,5,4,4,1,2,1,1,2,2,3,2,1,2,1,1,3,1,1,3,7,4,1,1,2,1,2,6,4,8,2,2,4,2,2,2,2,3,2,4,4,1,2,2,2,3,1,1,2,1,7,2,1,100,40,100,2,2,1,1,3,3,1,1,2,1,2
"650",0.933,0.933,0.933,0,0.87,0.87,0.87,0,0,0,1,1,2,2,1,2,1,3,1,4,3,1,4,1,1,2,5,6,5,2,2,4,2,5,5,30,97,70,40,40,70,0,62,0,60,0,60,20,70,1,2,3,1,1,1,1,2,2,1,1,2,2,5,1,5,1,20,70,45,45,40,40,0,50,85,1,1,1,1,1,1,2,5,7,1,1,1,2,1,50,0,0,1,2,3,NA,3,1,1,4,4,3,3,2,2,1,1,1,1,2,2,1,2,5,1,2,2,2,34,1,1,2,2,2,4,6,4,2,5,1,3,4,2,5,2,1,3,3,5,1,1,3,2,2,1,1,2,1,1,"GA",2,1,2,5,5,4,1,1,2,2,6,60,1,1,5,5,1,5,1,0,1,2,2,1,2,2,2,5,1,1,5,5,1,3,1,1,1,1,5,4,3,3,4,3,5,6,7,7,1,7,6,2,2,1,2,4,1,1,1,2,1,2,0,3,3,1,5,5,5,5,5,1,1,1,1,2,2,4,2,1,2,1,1,2,1,2,3,7,4,2,2,5,1,3,2,5,10,2,2,2,1,3,1,1,4,2,5,4,4,2,1,2,1,1,1,2,1,7,2,1,70,40,50,1,1,1,7,1,3,1,3,1,2,1
"651",0.598,0.598,0.598,0,0.558,0.558,0.558,0,0,0,1,2,2,1,1,5,2,1,2,3,2,2,3,1,2,1,2,5,1,2,3,3,4,5,5,50,50,50,50,50,50,50,85,30,50,85,50,50,50,2,1,3,2,1,2,1,1,1,2,1,2,2,1,1,5,1,30,80,40,60,60,50,0,30,97,1,1,5,1,5,2,2,3,5,1,1,1,2,2,50,50,0,7,1,2,NA,2,1,2,3,4,1,2,2,2,1,1,2,1,2,2,1,2,7,NA,2,2,2,49,2,2,3,2,3,4,4,4,1,3,1,3,5,2,5,1,5,1,2,3,1,1,3,1,2,1,1,1,1,1,"KS",2,1,1,5,5,4,1,2,2,1,8,60,1,1,5,5,1,5,5,2,1,1,2,1,2,2,2,5,3,1,3,5,2,3,1,1,1,1,5,3,4,3,5,4,5,5,7,7,5,6,7,1,2,1,2,6,5,2,1,2,1,4,5,3,4,3,5,3,5,5,5,1,1,2,2,4,1,4,2,3,4,1,1,2,1,2,3,7,3,1,2,4,1,2,5,4,8,2,2,2,1,3,3,1,5,3,4,5,1,1,1,1,2,1,1,2,1,7,1,1,50,50,50,4,4,4,4,3,1,2,1,1,1,2
"652",0.494,0.494,0.494,0,0.459,0.459,0.459,0,0,0,1,5,2,1,1,6,2,1,2,3,1,2,1,1,2,1,1,4,1,1,1,1,4,5,5,70,40,85,85,60,85,60,97,60,97,50,50,60,50,3,2,2,1,1,1,1,1,1,1,1,1,1,5,1,1,1,38,28,50,50,15,50,60,50,60,2,5,5,1,5,2,2,1,7,1,1,2,2,2,100,50,0,1,2,3,2,2,2,2,4,4,4,2,2,1,1,1,2,1,1,1,1,0,9,5,2,2,2,49,2,4,4,2,1,4,5,6,1,3,5,2,3,1,2,1,5,1,2,3,1,1,3,2,2,2,3,1,1,3,"NH",2,1,2,1,5,4,1,1,2,2,5,85,5,1,3,2,2,1,5,0,2,2,2,1,1,1,1,5,0,2,1,2,3,1,1,2,1,1,1,5,4,7,1,3,1,7,6,7,4,4,7,2,2,1,2,4,8,1,2,2,2,2,8,3,2,2,3,3,2,2,3,2,2,3,1,2,1,4,1,1,1,1,2,2,1,2,3,7,4,1,1,1,1,1,5,0,10,2,1,1,1,1,3,3,4,4,2,4,1,2,2,2,2,1,1,2,1,7,1,1,85,50,100,3,4,4,1,3,3,1,1,1,1,1
"653",0.106,0.106,0.106,0,0.099,0.099,0.099,0,0,0,2,2,2,2,1,7,2,1,2,4,2,2,4,3,2,1,1,6,1,1,5,6,2,0,0,40,40,50,50,15,70,85,70,40,50,15,60,50,15,3,2,2,1,1,2,1,2,1,1,2,1,1,5,1,1,1,33,33,55,45,15,50,50,60,30,2,1,5,1,1,2,1,4,4,1,2,2,2,3,100,100,25,1,2,3,2,2,2,2,4,4,6,2,2,1,1,1,1,1,1,2,5,5,9,5,2,2,2,49,2,4,6,2,7,4,4,6,1,3,6,1,4,2,3,4,5,3,3,3,1,1,3,2,1,1,2,1,1,1,"IL",1,1,1,1,5,2,1,1,1,1,2,97,5,1,3,4,4,5,5,0,1,2,2,1,2,2,2,5,5,4,1,2,5,3,2,1,1,1,2,4,4,3,3,4,5,4,4,5,5,4,6,1,2,1,1,5,7,1,2,2,2,4,5,5,4,4,5,3,3,2,4,2,2,3,1,2,2,3,1,1,2,1,2,2,3,2,3,6,1,1,1,1,1,2,6,4,7,2,3,1,3,1,1,3,4,3,3,4,2,1,1,2,3,2,1,2,1,7,1,1,40,60,70,2,2,3,3,2,3,1,1,2,1,2
"654",0.891,0.891,0.891,0,0.837,0.837,0.837,0,0,0,4,4,2,1,1,3,2,3,2,3,4,2,3,1,2,2,1,5,5,2,1,4,1,5,5,85,60,60,70,60,85,85,70,60,60,15,70,73,38,3,3,2,2,1,2,1,1,2,1,1,1,2,1,1,1,1,50,50,97,9,50,50,50,85,70,1,5,5,1,5,2,1,5,5,2,2,3,3,3,50,100,75,2,2,3,2,2,2,2,4,4,5,3,1,1,1,1,1,1,1,1,1,7,9,5,2,2,2,54,2,5,5,1,6,2,4,4,1,1,5,2,1,2,2,3,5,1,2,5,1,1,5,1,1,3,1,1,1,3,"WA",1,2,2,1,1,2,1,1,1,1,2,85,2,5,2,1,2,5,5,0,2,1,2,3,2,2,2,1,3,3,1,1,3,1,1,1,1,1,1,6,5,4,7,4,4,6,7,6,6,2,4,2,2,1,2,5,9,1,2,3,3,5,7,5,4,2,4,4,4,5,4,1,2,3,1,2,1,4,1,1,2,1,2,2,1,2,2,4,3,3,2,4,2,2,7,5,7,2,2,3,3,3,1,3,3,4,3,4,2,2,1,2,4,2,1,2,1,7,2,1,60,50,85,6,6,4,1,2,1,2,1,1,1,1
"655",1.686,1.686,1.686,0,1.569,1.569,1.569,0,0,0,1,1,2,2,1,5,2,1,2,4,1,2,4,1,2,3,5,6,1,1,1,4,1,5,1,0,70,97,0,50,60,0,85,15,85,85,85,25,75,1,4,3,1,1,1,1,1,1,1,1,2,2,1,1,5,1,35,85,35,85,70,70,0,0,70,1,1,1,1,1,2,2,3,7,1,1,1,1,2,0,50,0,1,2,3,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,1,7,1,1,2,2,2,0,1,1,1,1,4,4,7,3,2,5,1,3,5,1,5,1,1,1,2,3,1,1,1,3,1,1,1,1,1,2,"NY",2,1,2,5,5,4,1,1,2,1,5,40,2,1,5,5,1,1,1,0,1,1,1,3,2,2,2,5,1,1,5,5,1,3,1,1,1,1,4,5,4,4,4,5,3,6,7,7,1,7,7,2,2,1,2,8,0,1,1,1,1,7,0,1,2,1,3,5,5,5,5,1,1,3,1,3,2,3,1,1,2,1,1,2,1,2,3,7,4,1,2,5,1,1,1,4,10,2,4,3,1,3,1,1,5,2,5,5,3,1,1,1,2,2,1,2,1,3,2,1,60,15,70,4,4,4,4,3,3,2,1,1,1,1
"656",0.179,0.179,0.179,0,0.167,0.167,0.167,0,0,0,3,2,2,1,1,7,2,1,2,2,2,2,2,3,2,1,4,3,1,1,1,4,2,0,0,70,70,70,70,40,97,70,70,70,97,15,60,55,35,1,2,3,2,1,2,2,1,1,1,1,2,2,1,5,5,1,64,84,70,50,97,70,30,70,97,1,1,5,5,5,1,1,5,2,1,1,3,2,3,75,100,0,1,1,2,NA,1,2,2,2,2,1,4,2,1,1,1,2,1,1,1,1,7,1,NA,2,2,2,49,2,2,6,2,4,3,7,2,1,2,1,2,4,5,1,2,5,3,3,3,1,1,3,1,2,1,2,1,1,1,"IL",2,1,2,1,5,4,1,2,1,1,6,97,1,5,4,5,2,5,5,2,1,1,1,1,2,2,2,1,0,4,2,5,4,3,1,2,1,1,1,5,2,4,6,5,6,2,6,4,1,2,4,1,2,2,2,4,8,1,2,2,2,5,3,3,3,1,4,5,5,5,5,1,1,2,2,3,1,4,1,1,2,1,1,2,2,2,3,6,4,4,1,2,2,5,5,4,8,2,2,2,3,1,1,3,5,3,3,3,1,2,2,2,1,2,1,2,1,7,2,1,85,50,100,1,3,1,1,3,3,1,1,2,1,2
"657",3.175,3.175,3.175,0,2.969,2.969,2.969,0,0,0,3,3,2,1,1,4,2,2,2,4,4,2,4,2,2,1,4,6,1,1,1,1,4,0,0,50,70,50,60,97,35,15,60,30,50,50,50,56,91,1,4,2,2,1,2,2,1,1,1,1,2,2,1,1,5,1,43,78,50,50,70,50,15,50,85,1,1,5,5,1,2,1,6,2,2,3,1,3,3,25,100,100,1,2,3,1,1,1,1,1,1,5,4,2,2,1,1,1,1,2,2,1,7,9,1,2,2,2,54,3,3,2,2,4,1,4,2,1,2,5,2,2,3,3,2,5,1,2,3,1,1,3,3,1,2,1,1,1,3,"WA",1,2,2,5,1,3,2,1,2,2,2,50,1,1,3,2,2,1,5,0,1,1,1,1,2,2,2,5,0,3,2,4,2,5,1,3,2,1,4,4,3,2,5,3,6,3,6,7,3,5,2,4,2,1,2,8,3,2,1,1,2,10,0,2,3,2,3,4,5,4,4,1,1,1,1,2,2,2,2,1,2,1,1,2,1,2,3,6,2,3,2,5,1,1,5,7,4,1,4,3,3,1,2,3,5,4,4,3,3,2,2,2,2,2,1,2,1,7,2,1,50,30,100,5,3,3,1,3,1,1,1,1,1,1
"658",0.493,0.493,0.493,0,0.46,0.46,0.46,0,0,0,1,3,2,2,1,2,2,3,1,3,4,2,1,1,2,4,5,5,5,2,2,1,4,5,5,15,50,60,40,60,70,30,50,50,70,40,50,45,65,1,4,2,2,1,1,1,1,1,1,1,2,2,1,1,5,1,38,73,91,45,60,75,15,90,85,1,1,5,5,5,2,2,2,7,1,2,1,1,2,0,50,25,1,2,3,1,1,1,1,1,1,4,1,1,1,1,1,1,2,1,2,5,7,1,NA,1,2,2,39,1,2,4,2,2,4,6,3,2,5,1,3,2,2,3,4,1,1,1,3,1,1,1,1,3,1,1,2,1,2,"CA",2,1,2,5,5,4,1,2,2,1,5,50,1,1,5,4,1,1,5,0,1,1,1,3,2,2,2,1,0,1,5,5,3,5,1,1,1,1,2,3,2,3,5,3,4,6,5,6,2,4,7,1,2,1,2,7,2,2,1,1,1,6,1,1,1,1,4,2,5,3,2,2,1,3,2,1,2,3,2,1,1,1,1,2,1,2,3,6,4,2,2,4,1,2,0,4,10,2,2,3,1,3,3,1,5,5,1,5,1,1,1,1,5,2,1,2,1,1,1,1,60,40,50,4,4,2,3,3,1,2,1,2,1,1
"659",0.602,0.602,0.602,0,0.56,0.56,0.56,0,0,0,2,2,2,2,1,3,1,3,2,3,3,1,4,1,2,4,2,4,5,2,1,1,4,5,5,50,40,15,70,15,50,50,85,40,0,15,0,33,33,3,3,3,1,1,1,1,2,2,2,2,1,1,5,1,1,5,30,20,65,55,0,70,60,60,0,2,5,1,1,1,2,2,2,4,1,1,3,2,2,75,50,0,1,2,3,2,2,2,2,4,4,1,2,2,1,1,1,1,1,1,2,5,2,9,5,2,2,2,76,3,5,6,2,6,1,1,6,1,3,5,1,2,2,2,4,5,3,3,5,1,5,5,2,1,3,3,1,1,3,"SC",2,1,2,5,5,4,1,1,2,1,6,50,4,2,1,2,3,5,5,0,1,2,2,1,2,2,2,5,5,4,3,4,4,1,2,3,3,1,4,2,2,1,7,2,1,6,4,6,3,6,5,2,1,2,1,2,6,1,2,2,3,1,6,5,5,3,5,3,2,2,2,2,2,3,2,3,2,3,2,2,3,1,2,1,2,2,1,3,4,1,1,2,2,4,8,1,9,1,2,2,3,1,1,3,4,4,4,4,3,1,1,2,3,2,1,2,7,7,2,1,30,50,85,5,5,3,2,2,1,2,1,2,1,1
"660",0.851,0.851,0.851,0,0.792,0.792,0.792,0,0,0,1,1,2,1,1,4,1,1,2,4,1,2,4,1,1,2,4,6,1,1,1,6,1,5,5,40,50,60,50,70,70,30,70,30,70,70,70,50,70,1,4,3,2,1,1,2,1,1,1,1,2,2,1,5,5,1,43,93,50,70,85,70,0,30,85,1,1,1,1,1,2,2,2,6,1,2,1,1,3,0,100,25,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,1,2,2,2,44,1,3,5,2,4,4,5,3,2,5,1,2,4,1,2,1,5,1,2,1,1,1,3,2,2,1,2,1,1,3,"NH",2,1,2,1,5,4,1,1,2,1,5,70,1,2,4,4,2,1,1,0,1,1,1,1,1,1,2,5,5,3,3,4,2,3,2,2,2,1,2,4,2,2,6,3,2,6,6,7,2,7,7,2,2,1,2,8,2,1,1,1,1,8,3,1,1,1,1,5,4,4,5,1,1,1,1,2,1,3,1,1,2,1,1,2,1,1,3,6,4,3,1,2,1,1,3,1,9,2,2,2,1,3,1,3,4,3,4,4,2,2,1,1,2,1,1,2,1,7,1,1,70,40,70,4,4,4,4,3,1,2,1,2,1,1
"661",0.807,0.807,0.807,0,0.753,0.753,0.753,0,1,1,2,4,2,2,2,3,2,3,1,1,4,2,1,4,2,4,5,1,5,2,1,1,4,0,0,50,50,70,40,50,85,50,60,50,85,85,70,50,50,2,1,2,2,2,1,1,2,2,1,1,2,2,1,5,5,5,55,55,97,38,60,70,50,60,70,1,5,5,5,5,2,1,2,3,1,1,1,2,1,50,0,0,2,1,1,NA,3,1,2,4,4,1,2,1,1,1,1,1,1,1,1,1,3,8,NA,2,2,2,34,1,1,2,1,1,2,5,2,1,1,1,2,3,1,3,3,5,3,3,1,1,1,3,2,1,1,1,3,2,1,"CA",2,1,2,5,1,4,1,2,2,2,5,60,1,2,1,2,3,5,1,1,1,1,2,1,2,2,2,5,3,1,2,1,3,3,1,1,2,1,2,6,2,6,5,1,2,1,2,4,1,1,4,2,2,1,1,5,5,2,1,2,3,6,0,3,4,3,4,3,5,3,3,1,1,2,3,3,1,3,2,2,3,1,1,2,3,2,3,7,3,3,2,5,2,3,8,5,5,2,4,2,3,1,1,3,2,5,2,3,3,2,2,2,2,2,2,2,1,1,2,3,50,40,50,4,7,1,2,3,3,1,2,1,2,1
"662",0.962,0.962,0.962,0,0.896,0.896,0.896,0,0,0,9,5,2,1,1,2,1,3,2,2,2,2,3,1,2,4,5,2,1,2,7,4,2,5,5,50,60,50,50,50,50,50,50,50,0,30,30,50,50,2,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,40,40,67,80,30,92,50,70,50,1,5,5,5,5,1,2,6,2,1,1,1,1,2,0,50,0,2,1,1,NA,3,1,2,4,4,3,2,2,1,1,1,1,1,1,2,1,0,9,NA,2,2,2,49,3,4,6,2,5,4,4,6,2,5,3,2,3,2,3,3,5,1,2,3,5,1,5,1,1,2,2,1,1,2,"WI",2,1,2,5,1,4,1,2,1,1,6,50,2,2,3,3,2,5,1,2,1,1,2,1,2,2,2,5,0,2,1,2,3,3,2,1,2,1,2,3,3,3,4,4,7,6,6,7,6,7,7,2,1,2,2,3,5,2,1,3,2,3,4,4,3,3,3,3,3,2,3,1,2,2,2,3,1,2,2,1,2,1,2,2,1,2,1,2,4,2,1,1,2,2,6,0,10,2,4,2,3,3,3,1,2,5,2,3,2,2,2,2,4,2,2,2,7,7,2,1,40,50,50,3,4,2,5,3,1,2,1,1,1,1
"663",0.551,0.551,0.551,0,0.513,0.513,0.513,0,0,0,3,3,1,2,2,3,2,2,2,3,3,1,2,1,2,1,2,5,1,2,2,1,3,5,5,40,85,50,70,60,70,15,85,15,50,85,50,38,73,1,3,3,1,1,1,1,1,1,1,1,2,2,1,1,5,1,56,91,97,15,97,50,15,50,97,1,1,1,5,1,1,2,4,7,1,1,1,1,3,0,100,0,1,1,2,NA,3,1,1,4,4,1,1,2,1,1,1,1,1,1,2,1,3,4,NA,2,2,2,59,2,5,5,2,7,2,4,4,1,3,5,1,2,4,1,2,5,1,2,3,1,5,3,2,2,2,2,1,1,3,"TX",1,1,1,5,5,3,3,2,2,1,2,70,1,2,2,4,2,5,5,1,1,1,2,1,2,2,2,5,0,4,1,4,4,1,2,2,1,2,2,3,6,3,4,4,5,2,7,6,2,7,2,1,2,1,2,8,5,2,1,1,2,9,2,1,2,1,2,3,5,5,4,2,2,3,1,2,2,4,1,2,3,1,2,2,1,2,1,2,4,2,1,1,2,3,5,5,6,1,4,2,3,1,3,3,4,3,2,5,3,1,1,1,2,1,2,2,1,7,2,1,50,40,100,5,4,1,3,3,1,2,1,1,1,2
