"","VCF0006","VCF0006a","VCF0009x","VCF0010x","VCF0011x","VCF0009y","VCF0009z","VCF0010z","VCF0011z","VCF0017","VCF0018a","VCF0018b","VCF0050a","VCF0050b","VCF0070a","VCF0070b","VCF0071c","VCF0071d","VCF0072a","VCF0072b","VCF0101","VCF0102","VCF0103","VCF0104","VCF0105a","VCF0105b","VCF0106","VCF0107","VCF0108","VCF0110","VCF0112","VCF0113","VCF0114","VCF0116","VCF0118","VCF0127","VCF0127a","VCF0127b","VCF0128","VCF0130","VCF0130a","VCF0140","VCF0140a","VCF0143","VCF0146","VCF0147","VCF0148","VCF0148a","VCF0149","VCF0150","VCF0152","VCF0156","VCF0157","VCF0205","VCF0206","VCF0207","VCF0209","VCF0210","VCF0211","VCF0212","VCF0214","VCF0217","VCF0218","VCF0223","VCF0224","VCF0227","VCF0228","VCF0232","VCF0233","VCF0234","VCF0253","VCF0290","VCF0291","VCF0301","VCF0302","VCF0303","VCF0305","VCF0310","VCF0346","VCF0349","VCF0358","VCF0359","VCF0360","VCF0361","VCF0370","VCF0371","VCF0372","VCF0373","VCF0374","VCF0380","VCF0386","VCF0392","VCF0412","VCF0413","VCF0414","VCF0415","VCF0424","VCF0425","VCF0426","VCF0427","VCF0428","VCF0447","VCF0450","VCF0451","VCF0471","VCF0475","VCF0481","VCF0487","VCF0493","VCF0501","VCF0502","VCF0502a","VCF0503","VCF0504","VCF0605","VCF0606","VCF0609","VCF0613","VCF0624","VCF0648","VCF0649","VCF0656","VCF0700","VCF0702","VCF0703","VCF0704","VCF0704a","VCF0705","VCF0706","VCF0707","VCF0708","VCF0709","VCF0710","VCF0712","VCF0713","VCF0714","VCF0717","VCF0718","VCF0719","VCF0720","VCF0721","VCF0723","VCF0723a","VCF0729","VCF0731","VCF0733","VCF0734","VCF0736","VCF0740","VCF0741","VCF0742","VCF0801","VCF0803","VCF0804","VCF0806","VCF0809","VCF0823","VCF0824","VCF0830","VCF0838","VCF0839","VCF0843","VCF0846","VCF0847","VCF0849","VCF0850","VCF0851","VCF0852","VCF0853","VCF0854","VCF0867","VCF0867a","VCF0870","VCF0871","VCF0872","VCF0876","VCF0876a","VCF0878","VCF0879","VCF0879a","VCF0880","VCF0880a","VCF0881","VCF0886","VCF0887","VCF0888","VCF0890","VCF0894","VCF0900","VCF0900b","VCF0900c","VCF0901a","VCF0901b","VCF0902","VCF0903","VCF0904","VCF0905","VCF0991","VCF0992","VCF1004","VCF1005","VCF1011","VCF1012","VCF1013","VCF1014","VCF1015","VCF1016","VCF9005","VCF9009","VCF9013","VCF9016","VCF9017","VCF9018","VCF9021","VCF9022","VCF9023","VCF9025","VCF9027","VCF9028","VCF9029","VCF9030","VCF9030a","VCF9030b","VCF9030c","VCF9031","VCF9032","VCF9039","VCF9040","VCF9041","VCF9042","VCF9045","VCF9047","VCF9048","VCF9049","VCF9054","VCF9055","VCF9056","VCF9057","VCF9058","VCF9059","VCF9060","VCF9069","VCF9081","VCF9084","VCF9085","VCF9086","VCF9087","VCF9088","VCF9089","VCF9092","VCF9093","VCF9094","VCF9095","VCF9096","VCF9122","VCF9123","VCF9124","VCF9131","VCF9132","VCF9133","VCF9201","VCF9202","VCF9203","VCF9204","VCF9205","VCF9206","VCF9207","VCF9208","VCF9209","VCF9210","VCF9211","VCF9212","VCF9213","VCF9214","VCF9215","VCF9216","VCF9217","VCF9218","VCF9219","VCF9220","VCF9221","VCF9222","VCF9223","VCF9224","VCF9225","VCF9226","VCF9227","VCF9228","VCF9229","VCF9230","VCF9231","VCF9232","VCF9233","VCF9234","VCF9235","VCF9236","VCF9237","VCF9238","VCF9239","VCF9240","VCF9241","VCF9242","VCF9243","VCF9244","VCF9245","VCF9246","VCF9247","VCF9248","VCF9249","VCF9250","VCF9251","VCF9252","VCF9253","VCF9255","VCF9256","VCF9257","VCF9258","VCF9259","VCF9260","VCF9261","VCF9262","VCF9263","VCF9264","VCF9265","VCF9266","VCF9267","VCF9268","VCF9269","VCF9270","VCF9271","VCF9272","VCF9273","VCF9275","VCF9277","VCF9278","VCF9279","VCF9280","VCF9281","VCF9282"
"55859",185,20160185,1.726,1.726,1.726,0,1.607,1.607,1.607,0,0,0,4,4,1,1,2,2,1,1,42,3,3,2,2,2,2,7,2,2,3,1,3,4,2,1,13,2,1,2,2,3,3,1,2,3,0,9,6,40,10,0,0,97,85,70,50,85,50,70,70,70,85,97,60,60,50,50,70,97,85,73,63,1,5,1,4,2,2,2,1,1,1,1,1,1,1,1,1,5,5,1,45,65,98,998,60,98,30,98,85,30,1,1,60,5,5,5,5,1,9,5,7,1,2,1,2,1,1,50,0,50,1,1,2,0,0,0,7,0,0,0,0,0,1,2,2,1,1,1,1,2,2,2,1,0,4,0,2,2,2,59,9,0,7,9,2,5,1,3,5,5,1,2,5,1,4,4,2,4,5,5,5,5,1,5,5,1,1,1,3,4,1,1,3,1,3,1,4,2804,"MS04",28,"MS",55,2,0,2,5,5,9,9,9,9,9,6,37,32,50,1,1,5,4,1,1,0,1,9,1,8,1,7,2,2,2,5,3,1,4,4,1,1,1,1,1,2,82,996,996,996,996,996,5,4,4,4,4,4,4,1,1,1,1,1,2,3,7,3,2,1,2,10,0,1,-8,1,3,5,0,4,5,3,4,5,5,5,5,2,2,2,3,2,2,3,2,3,5,1,1,1,2,-7,3,7,2,1,2,5,1,2,10,10,0,1,5,5,3,1,3,3,5,2,2,5,2,2,2,2,4,2,2,2,-9,-9,2,-9,60,50,100,4,2,2,2,3,-9,-9,-9,1,2,1
"55860",186,20160186,0.344,0.344,0.344,0,0.324,0.324,0.324,0,0,0,4,4,2,2,1,1,1,1,57,5,3,2,4,4,3,7,2,3,4,2,2,1,1,2,0,0,2,5,5,5,5,1,2,5,3,3,4,10,400,5,5,60,60,85,70,60,50,70,97,85,97,85,0,70,50,50,15,70,50,49,99,2,5,1,3,1,2,1,1,2,1,1,1,1,2,2,1,5,5,1,49,99,98,998,97,98,0,98,70,60,1,1,97,5,5,5,5,2,1,1,4,4,2,1,2,2,2,100,50,50,1,2,3,1,1,1,1,1,0,1,0,6,0,2,2,1,1,1,1,2,2,2,1,1,0,1,2,2,2,59,9,0,4,2,2,8,5,4,5,6,1,2,3,2,4,2,1,1,5,5,3,3,3,1,1,5,3,3,2,3,2,1,1,1,1,3,3,3503,"NM03",35,"NM",55,2,0,2,1,8,9,9,1,9,1,5,45,14,50,1,1,3,3,2,1,5,0,0,0,1,3,7,2,2,2,5,0,4,2,3,4,5,1,3,1,2,81,996,996,996,996,996,1,6,3,4,4,3,4,2,7,2,1,7,4,1,1,3,2,1,2,7,4,1,1,2,2,9,2,2,1,1,3,5,4,5,3,1,2,3,3,2,2,3,2,3,4,1,2,2,3,-7,2,4,3,1,1,2,2,3,5,5,5,2,4,3,3,3,3,3,3,3,5,3,2,1,1,2,2,2,2,2,-9,-9,2,-9,85,50,60,3,4,5,2,2,1,2,1,2,1,2
"55861",187,20160187,2.545,2.545,2.545,0,2.371,2.371,2.371,0,0,0,4,4,2,2,2,2,2,2,30,2,2,2,6,4,3,7,2,1,3,1,1,8,5,1,13,2,1,3,3,1,1,5,8,2,9,9,9,80,149,0,0,85,40,97,97,85,97,97,97,40,85,97,60,50,97,0,50,85,97,73,63,3,3,1,2,1,1,1,2,2,1,1,1,1,2,2,8,8,5,1,3,53,98,998,5,98,0,98,97,97,8,8,5,1,1,5,1,1,2,2,3,6,2,1,1,1,1,0,0,50,2,2,3,1,1,1,1,1,1,1,1,4,0,1,1,1,1,1,1,1,1,2,1,7,0,1,2,2,2,49,9,0,7,9,1,0,7,4,1,1,1,3,5,2,1,1,5,4,8,7,1,1,1,1,1,5,3,3,9,8,1,3,3,2,2,3,10,1210,"FL10",12,"FL",55,2,0,2,9,8,9,9,1,9,1,5,56,11,97,1,1,3,1,1,1,5,0,0,1,1,1,7,2,2,2,1,5,1,1,1,3,1,2,3,1,1,21,50,50,50,50,85,9,1,5,7,4,3,2,1,7,7,1,7,7,3,1,5,2,1,2,10,5,1,7,1,2,3,6,2,2,4,4,5,5,5,5,2,2,3,2,2,-8,1,2,1,1,2,3,1,2,-7,3,5,1,4,2,5,1,1,-8,-8,-8,1,5,4,3,1,3,3,5,5,3,3,2,2,2,2,4,2,1,2,-9,-9,2,-9,-9,70,100,1,7,2,1,3,-9,-9,1,2,2,1
"55863",189,20160189,4.457,4.457,4.457,0,4.161,4.161,4.161,0,0,0,2,3,2,2,2,2,1,1,87,7,5,2,1,1,1,7,2,2,2,2,1,7,4,1,12,2,1,1,1,3,3,1,1,1,1,1,3,70,230,0,0,40,15,85,70,97,15,30,85,50,30,70,97,50,70,0,40,70,50,64,17,6,1,3,3,3,2,1,1,1,2,1,1,2,1,1,5,5,1,5,74,27,43,43,50,35,97,50,30,40,2,4,50,5,5,1,5,2,1,1,4,3,1,1,2,2,2,100,50,0,2,2,3,2,2,2,2,2,2,4,4,5,2,2,1,1,1,1,1,1,1,1,1,1,9,5,2,2,2,56,9,0,9,5,2,5,9,2,9,6,1,1,5,1,2,2,1,2,1,2,5,4,3,1,2,5,5,5,1,2,2,2,2,1,1,2,6,3906,"OH06",39,"OH",21,1,2,2,8,5,2,1,1,1,1,2,10,18,40,5,1,3,2,2,5,1,0,0,1,2,1,7,2,2,2,5,0,4,2,1,5,3,2,1,1,1,21,60,0,0,60,30,9,3,4,3,3,4,3,4,6,4,5,6,6,2,5,4,2,1,2,5,10,-8,-9,3,2,3,10,3,3,2,3,1,3,3,3,2,2,2,2,2,2,3,2,2,3,2,3,3,2,-7,2,4,-8,-8,1,1,2,2,10,5,10,1,2,2,3,1,3,3,5,3,3,5,1,2,2,2,3,2,1,2,-9,-9,2,-9,0,50,100,1,6,5,7,2,-9,-9,1,2,1,1
"55864",190,20160190,3.962,3.962,3.962,0,3.723,3.723,3.723,0,0,0,1,2,2,2,1,1,1,1,56,5,3,1,1,1,1,7,2,3,4,2,3,1,1,2,0,0,2,4,4,5,5,1,1,1,4,4,1,10,400,1,1,80,70,70,70,55,60,75,70,70,30,85,60,70,30,60,50,55,60,45,35,7,1,3,4,3,1,1,1,1,2,1,1,2,1,1,5,1,1,1,35,15,68,33,0,50,70,85,15,30,2,4,0,1,1,1,1,2,2,2,1,6,2,1,2,2,3,100,100,50,2,2,3,2,2,2,2,2,2,4,4,4,2,2,2,1,1,1,1,2,2,2,1,4,9,5,2,2,2,56,6,3,5,7,2,0,5,4,2,5,2,5,5,2,2,2,2,2,5,5,3,3,3,1,2,1,4,5,2,3,1,2,2,2,1,3,4,404,"AZ04",4,"AZ",55,2,0,2,1,5,9,9,1,9,1,6,3,20,55,4,1,4,2,2,5,1,0,0,2,2,1,2,1,2,1,5,1,5,2,3,5,1,2,1,2,1,21,40,60,60,40,60,2,2,2,2,6,2,2,5,3,6,4,6,5,3,7,3,1,2,1,3,8,1,2,3,2,2,7,4,5,3,5,2,2,2,2,2,2,3,3,3,2,3,1,2,3,1,1,2,2,-9,2,4,4,3,1,1,2,2,7,1,7,-9,3,4,1,3,1,3,5,2,4,5,2,2,2,2,1,1,1,2,-9,-9,1,-9,60,65,95,4,4,4,5,1,1,2,1,2,1,1
"55866",192,20160192,1.635,1.635,1.635,0,1.523,1.523,1.523,0,0,0,2,3,1,1,1,1,1,1,23,1,1,1,1,1,1,7,2,3,2,2,1,1,1,2,0,0,4,5,5,5,5,1,2,2,6,6,1,10,998,5,5,85,70,70,60,30,30,70,70,70,15,40,49,70,40,85,15,30,30,32,33,6,1,3,3,3,1,1,1,1,2,2,1,1,1,1,1,1,1,1,25,40,98,998,14,98,35,45,52,41,2,3,14,1,1,1,1,2,2,2,2,6,1,1,1,1,2,0,50,0,1,1,2,0,0,0,7,0,0,0,0,0,9,1,2,1,1,1,1,2,2,2,1,2,5,0,2,2,2,69,6,3,5,5,2,0,5,4,2,4,2,5,5,3,2,2,2,2,5,5,3,3,3,1,2,1,5,5,2,3,2,2,2,1,1,2,6,2706,"MN06",27,"MN",55,2,0,2,1,5,9,9,9,9,9,6,11,10,70,5,2,4,4,4,1,0,9,9,2,1,3,7,2,2,2,5,0,2,2,2,3,3,1,1,1,2,81,996,996,996,996,996,2,2,3,2,6,2,1,6,4,6,3,6,7,3,9,2,1,2,1,3,7,1,2,3,2,3,4,5,5,4,5,5,4,5,4,2,2,2,2,4,2,2,2,2,3,1,2,2,1,-9,1,2,4,-8,1,1,2,3,7,2,8,-9,2,2,3,3,3,1,3,3,3,4,2,2,2,2,3,1,1,2,-9,-9,2,-9,30,40,60,3,5,4,4,2,1,2,1,1,1,2
"55867",193,20160193,0.172,0.172,0.172,0,0.161,0.161,0.161,0,0,0,1,2,2,2,1,1,1,1,71,6,4,1,5,3,3,1,1,3,4,2,3,5,3,2,0,0,2,1,1,5,5,5,1,5,4,4,1,50,400,0,0,50,85,85,60,40,15,85,97,85,0,50,30,85,15,50,30,50,50,15,35,6,1,3,3,3,1,1,1,1,2,2,1,1,2,2,5,1,5,1,0,50,50,50,0,50,0,50,0,15,2,4,0,5,1,1,1,2,2,2,2,5,2,1,1,1,2,0,50,50,1,2,3,0,0,0,7,2,0,0,0,0,4,1,1,1,1,1,1,1,1,2,1,1,0,5,2,2,2,84,6,3,5,6,2,0,3,2,3,7,1,2,5,2,2,4,2,2,5,5,5,4,3,1,1,1,3,3,3,4,3,1,1,2,2,3,1,3501,"NM01",35,"NM",12,1,2,2,5,5,4,2,1,2,2,1,56,10,60,5,1,4,4,1,5,0,9,0,2,1,1,7,2,2,2,5,0,2,4,3,3,1,2,1,2,2,81,996,996,996,996,996,5,2,2,2,7,3,1,6,5,6,2,6,7,1,2,3,1,2,1,2,3,2,-9,2,1,1,1,4,5,2,5,3,5,5,5,2,2,3,3,4,2,2,1,3,5,1,-8,2,2,2,3,6,4,2,1,1,3,2,6,1,0,-9,3,2,1,3,3,1,4,2,3,4,2,1,1,1,2,1,1,1,-9,-9,1,1,50,50,70,2,2,2,2,1,-9,-9,1,1,1,2
"55868",194,20160194,0.793,0.793,0.793,0,0.746,0.746,0.746,0,0,0,3,3,2,2,1,1,1,1,19,1,1,2,1,1,1,7,2,2,4,2,2,1,1,2,0,0,2,3,3,3,3,1,2,2,3,3,3,10,400,5,5,50,50,50,30,70,85,30,70,50,70,70,15,50,50,85,50,15,70,43,78,1,5,1,4,3,2,1,1,2,1,1,1,1,2,2,5,5,5,1,43,78,40,60,70,50,15,30,85,60,1,1,70,1,1,5,1,2,2,2,3,6,1,2,1,2,3,50,100,25,2,2,3,1,1,1,1,1,1,1,1,6,1,2,2,2,1,2,1,4,3,2,1,4,1,1,2,1,2,21,2,1,1,3,2,0,1,4,6,2,2,5,1,3,3,1,4,1,8,7,3,3,3,1,1,1,2,1,2,3,2,1,1,2,1,2,2,1602,"ID02",16,"ID",55,2,0,2,8,5,9,9,1,9,2,6,43,17,70,1,1,4,5,2,1,5,0,0,0,8,3,1,1,1,2,5,1,1,4,5,2,3,1,1,1,1,21,70,50,50,70,997,9,2,1,2,6,3,3,7,6,7,2,6,7,1,6,4,2,1,2,7,1,1,1,1,1,6,1,3,3,2,4,5,5,5,4,1,1,2,1,1,1,3,2,1,2,1,1,2,1,-7,3,7,3,2,2,5,1,1,1,2,9,-9,2,2,1,3,1,1,5,2,4,4,2,2,2,2,2,1,1,2,-9,-9,1,-9,85,40,70,4,3,3,3,3,1,2,1,1,1,2
"55869",195,20160195,0.854,0.854,0.854,0,0.798,0.798,0.798,0,0,0,3,3,1,1,1,1,1,1,44,3,3,1,1,1,1,7,2,2,2,2,3,1,1,2,0,0,1,4,4,3,3,1,2,3,1,1,4,10,162,5,5,60,70,97,85,60,60,70,70,30,70,70,60,60,70,60,30,70,60,65,55,3,2,1,2,2,1,1,1,1,2,2,1,1,1,1,5,1,5,1,35,45,98,998,30,60,40,98,15,40,2,4,30,1,5,5,1,1,2,2,6,5,2,2,1,3,2,25,50,75,2,1,2,0,0,0,7,0,0,0,0,0,9,2,1,1,1,1,1,1,1,2,1,0,5,0,2,2,2,54,5,3,5,6,1,5,9,2,9,4,2,5,5,2,3,3,3,4,1,2,5,4,3,5,4,1,5,5,3,4,1,2,2,1,1,2,7,3907,"OH07",39,"OH",55,2,0,2,1,5,9,9,9,9,9,6,46,51,70,5,2,2,3,3,5,0,2,9,2,2,3,7,2,2,2,5,0,2,2,2,3,3,2,2,1,1,21,60,60,60,60,60,2,5,5,4,4,3,3,3,5,4,5,5,5,1,4,9,2,1,2,8,6,1,1,2,2,5,9,4,3,3,4,3,4,4,3,2,2,2,2,2,2,2,2,1,2,1,2,2,2,-9,2,4,2,2,1,1,2,3,7,8,6,1,3,3,3,1,3,3,3,3,3,4,2,2,2,2,4,2,2,2,-9,-9,2,-9,60,50,70,2,2,1,2,3,1,2,1,1,1,2
"55870",196,20160196,2.262,2.262,2.262,0,2.125,2.125,2.125,0,0,0,5,5,2,2,1,1,1,1,21,1,1,2,1,1,1,7,2,3,4,2,1,1,1,2,0,0,4,5,5,4,4,1,2,2,4,4,2,10,99,5,5,50,0,50,60,50,50,50,60,97,50,50,50,97,50,60,70,50,30,50,50,4,2,2,1,1,1,2,1,1,1,2,1,1,2,2,5,5,5,5,15,65,98,998,30,98,0,98,50,30,2,3,30,5,5,5,5,1,9,5,5,8,1,1,3,1,2,25,50,0,2,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,2,5,9,0,0,2,2,2,49,4,2,4,4,2,5,7,3,4,5,2,5,5,2,2,2,3,2,5,5,3,3,5,1,1,1,2,1,3,4,1,1,1,1,1,2,2,1602,"ID02",16,"ID",55,2,0,2,8,8,9,9,9,9,9,6,4,15,50,4,2,2,2,2,5,0,9,9,0,1,1,7,2,2,2,5,0,5,1,1,5,1,1,2,2,1,21,997,997,997,997,997,9,8,8,8,8,8,4,8,8,8,8,5,4,2,12,2,2,1,2,5,5,2,-9,2,2,5,5,3,5,3,5,5,5,5,2,1,1,2,1,2,2,1,2,3,4,1,1,2,2,-9,3,7,4,3,1,1,2,1,5,0,10,2,4,3,3,1,3,3,4,4,2,3,2,2,2,2,5,2,2,2,-9,-9,2,-9,60,30,70,3,6,2,2,2,1,2,1,1,2,2
"55871",197,20160197,0.219,0.219,0.219,0,0.203,0.203,0.203,0,0,0,2,3,1,1,1,1,1,1,67,6,4,1,1,1,1,7,2,3,3,1,2,5,3,2,0,0,1,5,5,5,5,1,2,3,1,1,3,50,135,0,0,30,40,50,50,50,40,30,85,40,40,70,15,85,40,50,40,50,40,28,63,3,2,1,2,3,2,1,2,2,1,1,1,1,2,2,1,5,5,1,35,85,98,998,70,98,0,98,70,70,1,1,70,1,5,5,1,2,1,1,3,5,1,1,1,1,2,0,50,0,1,1,2,0,0,0,7,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,4,0,2,2,2,44,4,2,4,6,2,3,6,3,4,5,1,2,3,2,2,4,1,2,5,5,5,4,1,1,1,5,4,5,2,3,2,1,2,1,1,3,3,4703,"TN03",47,"TN",21,1,2,2,1,5,3,3,9,9,9,2,54,10,60,1,4,2,4,5,5,0,1,9,0,1,1,2,1,2,1,1,0,5,1,2,5,1,1,1,1,2,82,996,996,996,996,996,2,4,3,5,3,5,5,1,3,7,1,7,1,1,2,2,2,1,1,7,2,1,1,1,2,7,0,3,2,2,3,5,5,5,5,1,1,3,3,2,2,2,2,2,3,1,1,2,1,-9,1,2,2,3,1,1,2,2,7,6,2,2,2,3,3,1,1,3,2,4,2,4,3,2,2,2,3,2,1,2,-9,-9,2,-9,40,85,85,3,4,3,2,2,-9,-9,1,2,1,2
"55872",198,20160198,1.615,1.615,1.615,0,1.509,1.509,1.509,0,0,0,5,5,2,2,1,1,1,1,23,1,1,2,5,3,3,1,1,2,4,2,2,4,2,2,0,0,2,4,4,2,2,5,2,7,6,6,2,40,400,0,0,50,60,50,60,50,50,60,40,60,40,0,50,50,40,15,85,50,50,45,45,5,2,3,2,1,1,2,2,2,1,1,1,2,2,2,1,5,5,1,50,70,98,998,70,98,30,98,60,50,2,3,70,5,5,5,5,1,1,1,2,4,2,2,3,1,3,25,100,75,1,1,2,0,0,0,7,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,4,0,2,2,2,54,9,0,3,9,1,0,9,1,9,9,1,1,1,1,2,2,4,3,5,4,5,4,1,1,1,1,4,5,2,3,1,1,1,1,1,3,4,804,"CO04",8,"CO",55,2,0,2,5,5,9,9,9,9,9,6,17,23,50,8,1,1,1,3,5,0,9,9,1,2,3,7,2,2,2,5,0,5,2,1,5,1,2,2,3,1,12,997,997,997,997,997,4,5,8,6,6,5,5,4,1,5,3,6,1,2,10,5,2,1,2,1,5,2,-9,2,3,5,3,4,2,4,2,5,4,2,4,-8,2,2,3,3,2,4,2,2,3,3,4,2,2,-7,2,4,2,1,1,1,1,2,5,1,5,-9,4,4,3,1,3,3,2,5,4,1,4,2,2,2,5,2,2,2,-9,-9,2,3,40,50,50,5,3,1,7,2,-9,-9,1,1,1,1
"55873",199,20160199,1.197,1.197,1.197,0,1.115,1.115,1.115,0,0,0,2,2,2,2,1,1,1,1,41,3,2,2,6,4,3,7,2,4,3,1,4,1,1,2,0,0,2,5,5,6,6,5,1,1,4,4,1,10,400,5,5,70,30,85,15,60,85,15,70,85,85,60,30,97,30,85,30,0,85,58,78,1,5,1,4,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,43,78,98,998,70,98,15,30,85,70,1,1,70,1,1,1,1,2,2,2,3,6,1,2,1,2,3,50,100,25,1,1,2,0,0,0,7,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,5,4,0,2,2,2,14,2,1,2,2,2,0,3,4,5,3,2,5,1,2,2,2,4,2,5,5,3,3,3,1,1,1,4,5,1,1,1,1,1,1,1,3,30,4830,"TX30",48,"TX",12,1,2,2,1,8,1,3,9,9,9,1,18,10,40,2,1,4,2,2,5,0,1,9,1,2,1,7,2,2,2,5,0,2,2,3,4,3,1,1,1,2,82,996,996,996,996,996,2,2,3,3,5,2,2,5,5,6,2,6,6,2,8,3,2,2,1,9,2,1,1,2,2,9,1,2,1,2,3,5,5,4,5,2,1,3,1,3,2,2,1,1,2,1,1,3,1,1,2,4,4,2,2,4,1,1,3,3,9,2,4,3,3,1,1,3,4,4,4,4,2,1,2,2,4,1,1,2,-9,-9,2,-9,30,40,40,2,5,1,1,3,1,2,1,1,1,1
"55875",201,20160201,0.188,0.188,0.188,0,0.175,0.175,0.175,0,0,0,2,1,2,2,1,1,1,1,78,7,5,2,1,1,1,7,2,2,3,1,2,5,3,2,0,0,1,1,0,2,2,1,1,5,1,1,3,51,292,5,5,70,70,97,60,40,0,97,97,60,0,85,75,50,40,0,0,97,40,38,13,7,1,3,4,3,1,2,1,1,2,2,1,2,1,1,5,1,1,1,50,25,50,25,25,25,75,75,0,40,2,4,25,5,1,1,1,2,2,2,1,6,1,1,1,1,3,0,100,0,2,2,3,2,2,2,2,0,0,0,0,4,2,2,2,1,1,2,2,4,2,2,1,7,9,0,1,2,2,97,7,3,6,5,2,0,5,1,7,7,1,3,5,1,1,5,1,5,5,5,3,3,1,5,5,5,5,5,2,3,2,2,2,1,3,3,5,4705,"TN05",47,"TN",55,2,0,2,1,5,9,9,9,9,9,5,54,6,70,5,1,2,1,1,5,1,0,0,2,2,3,2,1,2,1,5,0,2,1,2,4,1,3,3,2,2,82,996,996,996,996,996,1,3,1,1,1,2,1,7,6,6,4,6,6,1,2,2,1,2,1,0,10,1,2,3,1,0,10,5,5,5,5,2,1,1,2,2,2,3,3,4,2,2,1,3,4,1,1,2,1,-9,1,2,4,2,1,1,2,3,10,0,10,1,3,1,3,1,1,3,5,4,4,5,1,1,1,2,1,1,1,2,-9,3,1,-9,50,60,100,2,4,2,2,2,3,-9,1,2,1,2
"55876",202,20160202,0.7,0.7,0.7,0,0.652,0.652,0.652,0,0,0,4,3,2,2,2,2,1,1,74,6,5,2,5,3,3,3,1,4,3,1,4,5,3,2,0,0,2,2,2,6,6,5,1,1,4,4,2,50,400,0,0,85,50,85,85,15,15,97,85,50,0,50,97,97,50,0,0,85,15,49,2,7,1,3,4,3,1,2,1,1,2,2,2,2,1,1,5,1,1,5,49,2,49,2,0,0,97,97,0,0,1,1,0,5,1,1,1,2,2,2,1,6,1,1,2,2,3,100,100,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,1,2,5,9,0,0,1,2,1,90,6,3,5,6,2,0,5,2,9,6,1,2,5,1,1,4,1,5,5,5,5,5,3,1,2,5,5,5,2,3,1,3,1,1,3,3,10,4810,"TX10",48,"TX",21,1,2,2,1,5,2,3,9,9,9,2,23,33,50,5,1,2,2,1,5,0,2,9,0,2,3,7,2,2,2,5,5,2,1,2,5,1,3,1,3,2,82,996,996,996,996,996,1,2,1,1,7,2,1,6,6,7,4,7,6,2,7,6,1,2,1,0,10,1,2,3,1,0,10,5,5,5,5,2,2,2,2,2,2,3,3,4,2,2,1,3,5,1,2,1,1,-9,1,1,3,4,1,1,3,2,10,0,10,-9,2,2,3,3,1,3,5,2,5,5,4,2,2,2,2,1,1,2,3,3,2,1,15,85,85,1,2,3,1,1,-9,-9,1,2,1,1
"55878",204,20160204,1.222,1.222,1.222,0,1.137,1.137,1.137,0,0,0,1,1,2,2,2,2,1,1,53,4,3,1,1,1,1,7,2,4,3,1,4,1,1,2,0,0,2,5,5,6,6,1,1,1,7,9,1,10,400,5,5,60,70,70,85,60,15,15,15,70,40,15,30,30,0,70,10,15,60,35,55,5,2,3,2,3,1,1,2,1,1,1,2,2,1,1,1,1,1,5,78,43,50,40,70,40,85,60,70,97,2,3,70,1,1,1,1,1,9,5,2,4,1,1,1,1,2,0,50,0,2,2,3,0,0,3,4,2,0,0,0,0,2,2,2,1,1,1,1,2,2,2,1,7,6,5,2,2,2,49,6,3,3,7,2,0,6,4,1,5,2,5,5,3,4,2,3,2,5,5,3,3,1,1,1,1,5,5,3,5,3,2,2,3,1,3,7,1307,"GA07",13,"GA",55,2,0,2,1,5,9,9,1,9,1,6,55,7,70,5,5,5,5,4,5,1,0,0,5,2,1,7,2,2,2,5,3,1,2,3,3,1,1,1,2,1,21,30,50,50,30,50,1,3,1,1,6,2,3,6,6,6,2,7,6,3,2,2,1,2,1,3,6,2,-9,3,2,3,7,3,3,2,3,2,2,2,3,1,2,3,2,3,1,3,1,1,2,2,3,2,2,-9,3,7,4,2,1,1,2,3,6,2,9,2,2,1,1,3,1,1,4,1,5,3,2,2,2,2,1,1,1,1,-9,-9,1,-9,50,40,85,4,4,4,4,2,1,2,1,1,1,1
